USERID,TYPE,MODE,SLNO,DATE,INVNO,INVDATE,FCRDR,CODE1,NAME,TOWN,GSTIN,INVAMT,AMT5,TAX5,AMT12,TAX12,AMT18,TAX18,AMT28,TAX28,AMT0,ROUN,TAMT,TTAX,STCODE,GLCODE
SRI2122,Purchase,B2B,1,03-Apr-2021,2021-USMD003,02-Apr-2021,R,2012,UMA SHANKAR MEDICAL DISTRIBUTO,VIJAYWADA,37ARBPK9693B1ZL,2246.36,0,0,2005.68,240.68,0,0,0,0,0,0,2005.68,240.68,37,1002
SRI2122,Purchase,B2B,16,10-Apr-2021,2021-USMD017,09-Apr-2021,R,2012,UMA SHANKAR MEDICAL DISTRIBUTO,VIJAYWADA,37ARBPK9693B1ZL,11275.26,0,0,10067.2,1208.06,0,0,0,0,0,0,10067.2,1208.06,37,1002
SRI2122,Purchase,B2B,47,30-Apr-2021,2021-USMD041,30-Apr-2021,R,2012,UMA SHANKAR MEDICAL DISTRIBUTO,VIJAYWADA,37ARBPK9693B1ZL,18295,0,0,4101.4,492.17,11611.5,2090.07,0,0,0,-0.14,15712.9,2582.24,37,1002
SRI2122,Purchase,B2B,53,08-May-2021,2120110509,06-May-2021,R,2109,SANZYME(P)LTD,VIJAYAWADA,37AAACU2692R1ZK,4956,0,0,4425.36,531.04,0,0,0,0,0,-0.4,4425.36,531.04,37,1002
SRI2122,Purchase,B2B,24,17-Apr-2021,2180100049,15-Apr-2021,R,2011,PANACEA BIOTEC PHARMA LTD,VIJAYAWADA,37AAKCP4431B1ZN,37783,3435.25,171.76,30514.31,3661.72,0,0,0,0,0,-0.04,33949.56,3833.48,37,1002
SRI2122,Purchase,B2B,35,23-Apr-2021,2180100077,22-Apr-2021,R,2011,PANACEA BIOTEC PHARMA LTD,VIJAYAWADA,37AAKCP4431B1ZN,13760,3606.32,180.32,8904.78,1068.57,0,0,0,0,0,0.01,12511.1,1248.89,37,1002
SRI2122,Purchase,B2B,37,27-Apr-2021,2180100161,23-Apr-2021,R,2011,PANACEA BIOTEC PHARMA LTD,VIJAYAWADA,37AAKCP4431B1ZN,8640,0,0,0,0,7322,1317.96,0,0,0,0.04,7322,1317.96,37,1002
SRI2122,Purchase,B2B,49,05-May-2021,353,04-May-2021,R,2134,SRI SAI PHARMA,VIJAYAWADA-520002,37AAUPI2336R1ZW,41843,0,0,37360.23,4483.23,0,0,0,0,0,-0.46,37360.23,4483.23,37,1002
SRI2122,Purchase,B2B,2,05-Apr-2021,371000746076,03-Apr-2021,R,2007,AJANTA PHARMA LTD,VIJAYAWADA,37AAACA5579P1Z0,123452,0,0,110224.8,13226.98,0,0,0,0,0,0.22,110224.8,13226.98,37,1002
SRI2122,Purchase,B2B,17,10-Apr-2021,371000746211,08-Apr-2021,R,2007,AJANTA PHARMA LTD,VIJAYAWADA,37AAACA5579P1Z0,80349,0,0,71740.1,8608.81,0,0,0,0,0,0.09,71740.1,8608.81,37,1002
SRI2122,Purchase,B2B,40,29-Apr-2021,371000746763,27-Apr-2021,R,2007,AJANTA PHARMA LTD,VIJAYAWADA,37AAACA5579P1Z0,114930,0,0,102616.4,12313.97,0,0,0,0,0,-0.37,102616.4,12313.97,37,1002
