FCCODE,NAME,TOWN,FTC,FVNO,FVDATE,DESCRIP,CREDIT,DEBIT,INVDATE,SHCODE
9999,CASH SALES A/C,,SI,1,01/04/2019,To Credit Sales,0.00,949.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,2,01/04/2019,To Credit Sales,0.00,327.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,3,01/04/2019,To Credit Sales,0.00,2314.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,4,01/04/2019,To Credit Sales,0.00,5748.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,5,01/04/2019,To Credit Sales,0.00,1415.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,6,01/04/2019,To Credit Sales,0.00,1938.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,7,01/04/2019,To Credit Sales,0.00,2792.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,8,01/04/2019,To Credit Sales,0.00,330.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,9,01/04/2019,To Credit Sales,0.00,338.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,10,01/04/2019,To Credit Sales,0.00,594.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,11,01/04/2019,To Credit Sales,0.00,4034.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,12,01/04/2019,To Credit Sales,0.00,982.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,13,01/04/2019,To Credit Sales,0.00,890.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,14,01/04/2019,To Credit Sales,0.00,1933.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,15,01/04/2019,To Credit Sales,0.00,816.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,16,01/04/2019,To Credit Sales,0.00,769.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,17,01/04/2019,To Credit Sales,0.00,1578.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,18,01/04/2019,To Credit Sales,0.00,202.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,19,01/04/2019,To Credit Sales,0.00,5906.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,20,01/04/2019,To Credit Sales,0.00,8007.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,21,01/04/2019,To Credit Sales,0.00,10276.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,22,01/04/2019,To Credit Sales,0.00,1399.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,23,01/04/2019,To Credit Sales,0.00,8595.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,24,01/04/2019,To Credit Sales,0.00,1798.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,25,01/04/2019,To Credit Sales,0.00,352.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,26,01/04/2019,To Credit Sales,0.00,2176.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,27,01/04/2019,To Credit Sales,0.00,286.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,28,01/04/2019,To Credit Sales,0.00,1187.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,29,01/04/2019,To Credit Sales,0.00,1016.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,30,01/04/2019,To Credit Sales,0.00,883.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,31,01/04/2019,To Credit Sales,0.00,166.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,32,01/04/2019,To Credit Sales,0.00,300.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,33,01/04/2019,To Credit Sales,0.00,2678.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,34,01/04/2019,To Credit Sales,0.00,10209.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,35,01/04/2019,To Credit Sales,0.00,4876.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,36,01/04/2019,To Credit Sales,0.00,1518.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,37,01/04/2019,To Credit Sales,0.00,1519.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,38,01/04/2019,To Credit Sales,0.00,1442.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,39,01/04/2019,To Credit Sales,0.00,1357.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,40,01/04/2019,To Credit Sales,0.00,798.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,41,01/04/2019,To Credit Sales,0.00,2188.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,42,01/04/2019,To Credit Sales,0.00,933.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,43,01/04/2019,To Credit Sales,0.00,1215.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,44,01/04/2019,To Credit Sales,0.00,5317.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,45,01/04/2019,To Credit Sales,0.00,4483.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,46,01/04/2019,To Credit Sales,0.00,3126.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,47,01/04/2019,To Credit Sales,0.00,1169.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,48,01/04/2019,To Credit Sales,0.00,225.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,49,01/04/2019,To Credit Sales,0.00,4794.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,50,01/04/2019,To Credit Sales,0.00,4405.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,51,01/04/2019,To Credit Sales,0.00,378.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,52,01/04/2019,To Credit Sales,0.00,1802.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,53,01/04/2019,To Credit Sales,0.00,1096.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,54,01/04/2019,To Credit Sales,0.00,1386.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,55,01/04/2019,To Credit Sales,0.00,914.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,56,01/04/2019,To Credit Sales,0.00,528.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,57,01/04/2019,To Credit Sales,0.00,286.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,58,01/04/2019,To Credit Sales,0.00,212.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,59,01/04/2019,To Credit Sales,0.00,978.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,60,01/04/2019,To Credit Sales,0.00,970.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,61,01/04/2019,To Credit Sales,0.00,1423.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,62,01/04/2019,To Credit Sales,0.00,459.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,63,01/04/2019,To Credit Sales,0.00,823.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,64,01/04/2019,To Credit Sales,0.00,1329.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,65,01/04/2019,To Credit Sales,0.00,2640.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,66,01/04/2019,To Credit Sales,0.00,1203.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,67,01/04/2019,To Credit Sales,0.00,629.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,68,01/04/2019,To Credit Sales,0.00,626.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,69,01/04/2019,To Credit Sales,0.00,274.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,70,01/04/2019,To Credit Sales,0.00,447.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,71,01/04/2019,To Credit Sales,0.00,427.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,72,01/04/2019,To Credit Sales,0.00,203.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,73,01/04/2019,To Credit Sales,0.00,1120.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,74,01/04/2019,To Credit Sales,0.00,900.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,75,01/04/2019,To Credit Sales,0.00,748.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,76,01/04/2019,To Credit Sales,0.00,1939.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,77,01/04/2019,To Credit Sales,0.00,1282.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,78,01/04/2019,To Credit Sales,0.00,1515.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,79,01/04/2019,To Credit Sales,0.00,6925.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,80,01/04/2019,To Credit Sales,0.00,733.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,81,01/04/2019,To Credit Sales,0.00,2661.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,82,01/04/2019,To Credit Sales,0.00,1766.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,83,01/04/2019,To Credit Sales,0.00,2385.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,84,01/04/2019,To Credit Sales,0.00,2579.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,85,01/04/2019,To Credit Sales,0.00,9174.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,86,01/04/2019,To Credit Sales,0.00,2340.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,87,01/04/2019,To Credit Sales,0.00,447.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,88,01/04/2019,To Credit Sales,0.00,28675.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,89,01/04/2019,To Credit Sales,0.00,820.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,90,01/04/2019,To Credit Sales,0.00,1455.00,01/04/2019,A005
