GSTIN,SUPPLIER,INVNO,TYPE,INVDATE,INVAMT,STATE,REV,TAX,TAXABUL,IGST,CGST,SGST,CSS,STATUS,MON
36AAACI0380C1Z4,INDOCO REMEDIES LIMITED,Credit note,CRN1920VT2434A1,20-02-2020,11663.57,,,12,10414,1249.68,0,0,0,Submitted,Feb-20
36AAACI0380C1Z4,INDOCO REMEDIES LIMITED,Credit note,CRN1920VT2434A2,20-02-2020,12959.52,,,12,11571,1388.52,0,0,0,Submitted,Feb-20
36AAACI0380C1Z4,INDOCO REMEDIES LIMITED,Credit note,CRN1920VT2435A1,20-02-2020,855.01,,,12,763,91.56,0,0,0,Submitted,Feb-20
36AAACI0380C1Z4,INDOCO REMEDIES LIMITED,Credit note,CRN1920VT2435A2,20-02-2020,481.15,,,12,430,51.6,0,0,0,Submitted,Feb-20
36AAACI0380C1Z4,INDOCO REMEDIES LIMITED,Credit note,CRN1920VT2435A3,20-02-2020,793.86,,,12,709,85.08,0,0,0,Submitted,Feb-20
37ADWPT5921A1Z7,DURGA  THOMMANDRU,Credit note,2101280129,06-02-2020,1054,,,12,941.2,0,56.47,56.47,0,Submitted,Feb-20
37ADWPT5921A1Z7,DURGA  THOMMANDRU,Credit note,2101280130,06-02-2020,699,,,12,624.42,0,37.47,37.47,0,Submitted,Feb-20
37ADWPT5921A1Z7,DURGA  THOMMANDRU,Credit note,2101280131,06-02-2020,1054,,,12,941.2,0,56.47,56.47,0,Submitted,Feb-20
37AAACC1450B1ZD,CIPLA LIMITED,Credit note,1104318778,03-02-2020,4084,,,12,3646.48,0,218.76,218.76,0,Submitted,Feb-20
37AAACC1450B1ZD,CIPLA LIMITED,Credit note,1104318802,03-02-2020,4816,,,12,4300,0,258,258,0,Submitted,Feb-20
37AAACC1450B1ZD,CIPLA LIMITED,Credit note,1104318803,03-02-2020,4623,,,12,4127.64,0,247.68,247.68,0,Submitted,Feb-20
37AAACC1450B1ZD,CIPLA LIMITED,Credit note,1104318870,03-02-2020,10426,,,12,9308.92,0,558.54,558.54,0,Submitted,Feb-20
37AAACC1450B1ZD,CIPLA LIMITED,Credit note,1104318883,03-02-2020,10400,,,12,9285.68,0,557.16,557.16,0,Submitted,Feb-20
37AAACC1450B1ZD,CIPLA LIMITED,Credit note,1104318884,03-02-2020,6145,,,12,5486.56,0,329.22,329.22,0,Submitted,Feb-20
37AAACC1450B1ZD,CIPLA LIMITED,Credit note,1104319066,05-02-2020,8467,,,12,7559.8,0,453.6,453.6,0,Submitted,Feb-20
37AAACC1450B1ZD,CIPLA LIMITED,Credit note,1104319067,05-02-2020,5357,,,12,4783.04,0,286.98,286.98,0,Submitted,Feb-20
37AAACC1450B1ZD,CIPLA LIMITED,Credit note,1104319112,07-02-2020,559,,,12,499.1,0,29.95,29.95,0,Submitted,Feb-20
37AAACC1450B1ZD,CIPLA LIMITED,Credit note,1104319113,07-02-2020,9984,,,12,8914.28,0,534.86,534.86,0,Submitted,Feb-20
37AAACC1450B1ZD,CIPLA LIMITED,Credit note,1104319114,07-02-2020,2085,,,12,1861.66,0,111.67,111.67,0,Submitted,Feb-20
37AAACC1450B1ZD,CIPLA LIMITED,Credit note,1104319115,07-02-2020,1651,,,12,1474.12,0,88.44,88.44,0,Submitted,Feb-20
37AAACC1450B1ZD,CIPLA LIMITED,Credit note,1104319116,07-02-2020,14976,,,12,13371.4,0,802.3,802.3,0,Submitted,Feb-20
37AAACC1450B1ZD,CIPLA LIMITED,Credit note,1104319117,07-02-2020,5780,,,12,5160.72,0,309.64,309.64,0,Submitted,Feb-20
37AAACC1450B1ZD,CIPLA LIMITED,Credit note,1104319118,07-02-2020,1030,,,12,919.6,0,55.2,55.2,0,Submitted,Feb-20
37AAACC1450B1ZD,CIPLA LIMITED,Credit note,1104319119,07-02-2020,2255,,,12,2013.42,0,120.79,120.79,0,Submitted,Feb-20
37AAACC1450B1ZD,CIPLA LIMITED,Credit note,1104319120,07-02-2020,808,,,12,721.42,0,43.29,43.29,0,Submitted,Feb-20
37AAACC1450B1ZD,CIPLA LIMITED,Credit note,1104319121,07-02-2020,654,,,12,583.96,0,35.02,35.02,0,Submitted,Feb-20
37AAACC1450B1ZD,CIPLA LIMITED,Credit note,1104319122,07-02-2020,954,,,12,851.82,0,51.09,51.09,0,Submitted,Feb-20
37AAACC1450B1ZD,CIPLA LIMITED,Credit note,1104319123,07-02-2020,10147,,,12,9059.86,0,543.57,543.57,0,Submitted,Feb-20
37AAACC1450B1ZD,CIPLA LIMITED,Credit note,1104319124,07-02-2020,2998,,,12,2676.76,0,160.62,160.62,0,Submitted,Feb-20
37AAACC1450B1ZD,CIPLA LIMITED,Credit note,1104319125,07-02-2020,3806,,,12,3398.18,0,203.91,203.91,0,Submitted,Feb-20
37AAACC1450B1ZD,CIPLA LIMITED,Credit note,1104319126,07-02-2020,14959,,,12,13356.28,0,801.36,801.36,0,Submitted,Feb-20
37AAACC1450B1ZD,CIPLA LIMITED,Credit note,1104319127,07-02-2020,15296,,,12,13657.16,0,819.42,819.42,0,Submitted,Feb-20
37AAACC1450B1ZD,CIPLA LIMITED,Credit note,1104319128,07-02-2020,3134,,,12,2798.2,0,167.9,167.9,0,Submitted,Feb-20
37AAACC1450B1ZD,CIPLA LIMITED,Credit note,1104319287,07-02-2020,2360,,,12,2107.16,0,126.42,126.42,0,Submitted,Feb-20
