GSTIN,SUPPLIER,INVNO,TYPE,INVDATE,INVAMT,STATE,REV,TAX,TAXABUL,IGST,CGST,SGST,CSS,STATUS,MON
36AAACP3334M1ZC,PFIZER LIMITED,7034033663,R,25-04-2019,11528,Andhra Pradesh,N,0,0,0,0,0,0,Submitted,Apr-19
36AAACP3334M1ZC,PFIZER LIMITED,7034033702,R,25-04-2019,49296,Andhra Pradesh,N,0,0,0,0,0,0,Submitted,Apr-19
33AABCA6884A1Z0,ALLERGAN INDIA PRIVATE LIMITED,TN0011002067,R,13-04-2019,30830,Andhra Pradesh,N,0,0,0,0,0,0,Submitted,Apr-19
33AABCA6884A1Z0,ALLERGAN INDIA PRIVATE LIMITED,TN0011002068,R,13-04-2019,193655,Andhra Pradesh,N,0,0,0,0,0,0,Submitted,Apr-19
33AABCA6884A1Z0,ALLERGAN INDIA PRIVATE LIMITED,TN0011002554,R,26-04-2019,39526,Andhra Pradesh,N,0,0,0,0,0,0,Submitted,Apr-19
33AABCA6884A1Z0,ALLERGAN INDIA PRIVATE LIMITED,TN0011002555,R,26-04-2019,246350,Andhra Pradesh,N,0,0,0,0,0,0,Submitted,Apr-19
33AABCA6884A1Z0,ALLERGAN INDIA PRIVATE LIMITED,TN0011002556,R,26-04-2019,97322,Andhra Pradesh,N,0,0,0,0,0,0,Submitted,Apr-19
33AABCA6884A1Z0,ALLERGAN INDIA PRIVATE LIMITED,TN0011002557,R,26-04-2019,359020,Andhra Pradesh,N,0,0,0,0,0,0,Submitted,Apr-19
33AABCA6884A1Z0,ALLERGAN INDIA PRIVATE LIMITED,TN0011002558,R,26-04-2019,403721,Andhra Pradesh,N,0,0,0,0,0,0,Submitted,Apr-19
36AADCP8985B1Z5,PFIZER PRODUCTS INDIA PRIVATE LIMITED,7094013586,R,24-04-2019,40673,Andhra Pradesh,N,5,38736,1936.8,0,0,0,Submitted,Apr-19
36AADCP8985B1Z5,PFIZER PRODUCTS INDIA PRIVATE LIMITED,7094013684,R,25-04-2019,3529,Andhra Pradesh,N,5,3361.29,168.06,0,0,0,Submitted,Apr-19
37AAACI1220M1ZS,IPCA LABORATORIES LIMITED,158LS9000015,R,01-04-2019,264028.07,Andhra Pradesh,N,5,37497.42,0,937.46,937.46,0,Submitted,Apr-19
37AAACI1220M1ZS,IPCA LABORATORIES LIMITED,158LS9000470,R,13-04-2019,97766.74,Andhra Pradesh,N,5,6613.2,0,165.35,165.35,0,Submitted,Apr-19
37AAACI1220M1ZS,IPCA LABORATORIES LIMITED,158LS9000681,R,18-04-2019,14968.8,Andhra Pradesh,N,5,14256,0,356.4,356.4,0,Submitted,Apr-19
37AAACI1220M1ZS,IPCA LABORATORIES LIMITED,158LS9000682,R,18-04-2019,29023.24,Andhra Pradesh,N,5,25968,0,649.2,649.2,0,Submitted,Apr-19
37AAACI1220M1ZS,IPCA LABORATORIES LIMITED,158LS9000897,R,25-04-2019,89935.78,Andhra Pradesh,N,5,4952,0,123.81,123.81,0,Submitted,Apr-19
37AAACI1220M1ZS,IPCA LABORATORIES LIMITED,158LS9001159,R,30-04-2019,88086.22,Andhra Pradesh,N,5,5962.7,0,149.07,149.07,0,Submitted,Apr-19
37AAACG4414B1Z7,GLAXOSMITHKLINE PHARMACEUTICALS LIMITED,191026240286,R,12-04-2019,12938.71,Andhra Pradesh,N,5,394.3,0,9.86,9.86,0,Submitted,Apr-19
37ALIPG2380E1ZA,KOTESWARI  GUTHULA,CR00016,R,02-04-2019,25256,Andhra Pradesh,N,5,72,0,1.8,1.8,0,Submitted,Apr-19
37ALIPG2380E1ZA,KOTESWARI  GUTHULA,CR00084,R,18-04-2019,61703,Andhra Pradesh,N,5,3732,0,93.3,93.3,0,Submitted,Apr-19
37ALIPG2380E1ZA,KOTESWARI  GUTHULA,CR00085,R,18-04-2019,7824,Andhra Pradesh,N,5,2214,0,55.35,55.35,0,Submitted,Apr-19
37AABCL3646F1ZL,LIFESTAR PHARMA PRIVATE LIMITED,716019053,R,03-04-2019,73805,Andhra Pradesh,N,5,1388.94,0,34.72,34.72,0,Submitted,Apr-19
37AABCL3646F1ZL,LIFESTAR PHARMA PRIVATE LIMITED,716019504,R,25-04-2019,20604,Andhra Pradesh,N,5,7026.88,0,175.68,175.68,0,Submitted,Apr-19
37AAYPN5693C1Z0,RAMA  NEELILAKSHMI,DS100076,R,18-04-2019,56407,Andhra Pradesh,N,5,19706.73,0,492.67,492.67,0,Submitted,Apr-19
36AAACH2736F1ZV,SANOFI INDIA LIMITED,3839193975,R,01-04-2019,10553,Andhra Pradesh,N,5,10050.46,502.52,0,0,0,Submitted,Apr-19
36AAACH2736F1ZV,SANOFI INDIA LIMITED,3839194462,R,12-04-2019,5026,Andhra Pradesh,N,5,4786.67,239.33,0,0,0,Submitted,Apr-19
