GSTIN,SUPPLIER,INVNO,TYPE,INVDATE,INVAMT,STATE,REV,TAX,TAXABUL,IGST,CGST,SGST,CSS,STATUS,MON
36AAACF3120H1Z5,FERRING PHARMACEUTICALS P RIVATE LIMITED,Credit note,DCNTG0497,28-01-2020,75250.82,,,12,67188.23,8062.59,0,0,0,Submitted,Jan-20
36ACCFS3863P1ZH,SAI SRINIVASA MEDICAL CORPORATION,Credit note,R141,08-05-2019,911.61,,,12,813.94,97.67,0,0,0,Submitted,Jan-20
36ACCFS3863P1ZH,SAI SRINIVASA MEDICAL CORPORATION,Credit note,R142,08-05-2019,1173.54,,,12,140.11,16.81,0,0,0,Submitted,Jan-20
36ACCFS3863P1ZH,SAI SRINIVASA MEDICAL CORPORATION,Credit note,R614,10-08-2019,1226.15,,,12,164.58,19.75,0,0,0,Submitted,Jan-20
36ACCFS3863P1ZH,SAI SRINIVASA MEDICAL CORPORATION,Credit note,R615,10-08-2019,10210.11,,,12,9116.17,1093.94,0,0,0,Submitted,Jan-20
36AHIPA1686P1ZX,AKUTHOTA PADMA SEKHAR,Credit note,PW3629000093,20-01-2020,5400.06,,,18,4576.32,823.74,0,0,0,Submitted,Jan-20
36ACCFS3863P1ZH,SAI SRINIVASA MEDICAL CORPORATION,Credit note,R142,08-05-2019,1173.54,,,18,861.54,155.08,0,0,0,Submitted,Jan-20
36ACCFS3863P1ZH,SAI SRINIVASA MEDICAL CORPORATION,Credit note,R614,10-08-2019,1226.15,,,18,882.9,158.92,0,0,0,Submitted,Jan-20
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
