GSTIN,SUPPLIER,INVNO,TYPE,INVDATE,INVAMT,STATE,REV,TAX,TAXABUL,IGST,CGST,SGST,CSS,STATUS,MON
37AAACP5335J1ZB,PANACEA BIOTEC LIMITED,1936100570,R,27-06-2019,37141.95,Andhra Pradesh,N,5,822,0,20.55,20.55,0,Submitted,Jun-19
36AAACF3120H1Z5,FERRING PHARMACEUTICALS P RIVATE LIMITED,INTG03882,R,17-06-2019,61326.22,Andhra Pradesh,N,5,10906.8,545.34,0,0,0,Submitted,Jun-19
37AAACU2692R1ZK,SANZYME PRIVATE LIMITED,1920110845,R,15-06-2019,3312.03,Andhra Pradesh,N,5,3154.31,0,78.86,78.86,0,Submitted,Jun-19
37AAACU2692R1ZK,SANZYME PRIVATE LIMITED,1920110956,R,26-06-2019,4724.95,Andhra Pradesh,N,5,4499.95,0,112.5,112.5,0,Submitted,Jun-19
36AAACH7412G1ZU,EMAMI LIMITED,DS3600004134,R,29-06-2019,12495,Andhra Pradesh,N,5,2549.01,127.45,0,0,0,Submitted,Jun-19
37AAACP5335J1ZB,PANACEA BIOTEC LIMITED,1936100570,R,27-06-2019,37141.95,Andhra Pradesh,N,12,32392,0,1943.52,1943.52,0,Submitted,Jun-19
37AABCA9317J2ZI,ADITYA MEDISALES LIMITED,AD1993005063,R,01-06-2019,4804,Andhra Pradesh,N,12,4289.18,0,257.35,257.35,0,Submitted,Jun-19
37AABCA9317J2ZI,ADITYA MEDISALES LIMITED,AD1993005482,R,07-06-2019,22152,Andhra Pradesh,N,12,17464.61,0,1047.88,1047.88,0,Submitted,Jun-19
37AABCA9317J2ZI,ADITYA MEDISALES LIMITED,AD1993005931,R,17-06-2019,51694,Andhra Pradesh,N,12,46155.13,0,2769.31,2769.31,0,Submitted,Jun-19
37AABCA9317J2ZI,ADITYA MEDISALES LIMITED,AD19C0100341,R,27-06-2019,7452,Andhra Pradesh,N,12,6653.55,0,399.21,399.21,0,Submitted,Jun-19
37AABCA9317J2ZI,ADITYA MEDISALES LIMITED,AD19C0100364,R,27-06-2019,52254,Andhra Pradesh,N,12,46655.72,0,2799.35,2799.35,0,Submitted,Jun-19
37AVKPS1040D1ZR,RAMAKRISHNA  SRIPATHI,SV00017,R,26-04-2019,4011,Andhra Pradesh,N,12,2596.1,0,155.77,155.77,0,Submitted,Jun-19
37AVKPS1040D1ZR,RAMAKRISHNA  SRIPATHI,SV00026,R,15-05-2019,9433,Andhra Pradesh,N,12,2596.1,0,155.77,155.77,0,Submitted,Jun-19
37AVKPS1040D1ZR,RAMAKRISHNA  SRIPATHI,SV00027,R,20-05-2019,1591,Andhra Pradesh,N,12,1420.22,0,85.21,85.21,0,Submitted,Jun-19
37AVKPS1040D1ZR,RAMAKRISHNA  SRIPATHI,SV00035,R,27-05-2019,1723,Andhra Pradesh,N,12,1374.41,0,82.46,82.46,0,Submitted,Jun-19
37AVKPS1040D1ZR,RAMAKRISHNA  SRIPATHI,SV00043,R,07-06-2019,6035,Andhra Pradesh,N,12,1007.9,0,60.47,60.47,0,Submitted,Jun-19
37ARBPK9693B1ZL,CHALUVADI  KAMALAKUMARI,Umagts00121,R,06-06-2019,23025.72,Andhra Pradesh,N,12,7887.9,0,473.27,473.27,0,Submitted,Jun-19
37ARBPK9693B1ZL,CHALUVADI  KAMALAKUMARI,Umagts00154,R,21-06-2019,4298.44,Andhra Pradesh,N,12,3837.9,0,230.27,230.27,0,Submitted,Jun-19
37ARBPK9693B1ZL,CHALUVADI  KAMALAKUMARI,Umagts00172,R,28-06-2019,15620.4,Andhra Pradesh,N,12,5258.6,0,315.52,315.52,0,Submitted,Jun-19
36AAACF3120H1Z5,FERRING PHARMACEUTICALS P RIVATE LIMITED,INTG03882,R,17-06-2019,61326.22,Andhra Pradesh,N,12,44530.43,5343.65,0,0,0,Submitted,Jun-19
37AAACA5579P1Z0,AJANTA PHARMA LIMITED,8054697157,R,11-06-2019,70709,Andhra Pradesh,N,12,63133.06,0,3787.97,3787.97,0,Submitted,Jun-19
37AAACA5579P1Z0,AJANTA PHARMA LIMITED,8054697282,R,24-06-2019,42302,Andhra Pradesh,N,12,37769.62,0,2266.19,2266.19,0,Submitted,Jun-19
37AAACA5579P1Z0,AJANTA PHARMA LIMITED,8054697305,R,25-06-2019,37613,Andhra Pradesh,N,12,33583.04,0,2014.98,2014.98,0,Submitted,Jun-19
37ACHPV0278Q1ZP,CHINNA KASI RAO  VISWANADHUNI,SR01605,R,10-06-2019,3962,Andhra Pradesh,N,12,3537.56,0,212.25,212.25,0,Submitted,Jun-19
37ACHPV0278Q1ZP,CHINNA KASI RAO  VISWANADHUNI,SR02045,R,26-06-2019,4671,Andhra Pradesh,N,12,4170.57,0,250.23,250.23,0,Submitted,Jun-19
36AHIPA1686P1ZX,AKUTHOTA PADMA SEKHAR,PI3629000311,R,29-06-2019,77818.65,Andhra Pradesh,N,12,61339.87,7360.78,0,0,0,Submitted,Jun-19
37AAACU2692R1ZK,SANZYME PRIVATE LIMITED,1920110738,R,03-06-2019,5026.67,Andhra Pradesh,N,12,4488.09,0,269.29,269.29,0,Submitted,Jun-19
37AAUPI2336R1ZW,ITHA JYOSTNA KUMARI,445,R,10-06-2019,14323,Andhra Pradesh,N,12,12788.7,0,767.32,767.32,0,Submitted,Jun-19
37AAUPI2336R1ZW,ITHA JYOSTNA KUMARI,529,R,20-06-2019,19455,Andhra Pradesh,N,12,17370.27,0,1042.22,1042.22,0,Submitted,Jun-19
36AAACH7412G1ZU,EMAMI LIMITED,DS3600004134,R,29-06-2019,12495,Andhra Pradesh,N,12,8766.59,1051.95,0,0,0,Submitted,Jun-19
37AAGHV9740Q1Z2,VIVEK CHAND CHORDIA (HUF),VIJ20I0067,R,10-06-2019,67154,Andhra Pradesh,N,12,59958.9,0,3597.53,3597.53,0,Submitted,Jun-19
37AAGHV9740Q1Z2,VIVEK CHAND CHORDIA (HUF),VIJ20I0075,R,18-06-2019,18180,Andhra Pradesh,N,12,16232,0,973.92,973.92,0,Submitted,Jun-19
36ACCFS3863P1ZH,SAI SRINIVASA MEDICAL CORPORATION,RP000231,R,06-06-2019,6988,Andhra Pradesh,N,12,3913.74,469.65,0,0,0,Submitted,Jun-19
36ACCFS3863P1ZH,SAI SRINIVASA MEDICAL CORPORATION,RP000401,R,17-06-2019,150,Andhra Pradesh,N,12,134.3,16.12,0,0,0,Submitted,Jun-19
36ACCFS3863P1ZH,SAI SRINIVASA MEDICAL CORPORATION,RP000445,R,19-06-2019,9178,Andhra Pradesh,N,12,3854.85,462.58,0,0,0,Submitted,Jun-19
36ACCFS3863P1ZH,SAI SRINIVASA MEDICAL CORPORATION,SB002492,R,05-06-2019,15979,Andhra Pradesh,N,12,14267,1712.04,0,0,0,Submitted,Jun-19
36ACCFS3863P1ZH,SAI SRINIVASA MEDICAL CORPORATION,SB003101,R,24-06-2019,22235,Andhra Pradesh,N,12,14596.9,1751.63,0,0,0,Submitted,Jun-19
36ACCFS3863P1ZH,SAI SRINIVASA MEDICAL CORPORATION,SB003141,R,25-06-2019,19483,Andhra Pradesh,N,12,14747.26,1769.67,0,0,0,Submitted,Jun-19
37BPSPK5588P1ZK,PARAMESWARI  KARALAPATI,DMA0924,R,20-06-2019,3772,Andhra Pradesh,N,12,2989.57,0,179.37,179.37,0,Submitted,Jun-19
37AECPK6215K1ZG,VEERA VENKATA RAMA KRISHNA RAO KUKUNURI,SUNPHARMA183,R,19-06-2019,5140.8,Andhra Pradesh,N,12,4590,0,275.4,275.4,0,Submitted,Jun-19
36AACCV6663P1ZK,VINDHYA HEALTH CARE PRIVATE LIMITED,VHPL/026/19-20,R,08-06-2019,2761,Andhra Pradesh,N,12,2340,280.8,0,0,0,Submitted,Jun-19
36AAACM2303F1Z3,MODI MUNDIPHARMA PRIVATE LIMITED,M09CC00220,R,10-06-2019,36553,Andhra Pradesh,N,12,31142.02,3737.04,0,0,0,Submitted,Jun-19
36AAACM2303F1Z3,MODI MUNDIPHARMA PRIVATE LIMITED,M09CC00295,R,28-06-2019,30923,Andhra Pradesh,N,12,27609.57,3313.15,0,0,0,Submitted,Jun-19
36ABSPP4627R1ZL,VISHWANATHAM  PABBA,LO0098,R,26-06-2019,13489.39,Andhra Pradesh,N,12,12044.1,1445.29,0,0,0,Submitted,Jun-19
37ACVFS6620D1ZS,SERNEX LIFE SCIENCES,GSD-101,R,01-06-2019,11756,Andhra Pradesh,N,12,1991.25,0,119.48,119.48,0,Submitted,Jun-19
37ACVFS6620D1ZS,SERNEX LIFE SCIENCES,GSD-117,R,08-06-2019,3402,Andhra Pradesh,N,12,3037.5,0,182.25,182.25,0,Submitted,Jun-19
37ACVFS6620D1ZS,SERNEX LIFE SCIENCES,GSD-121,R,13-06-2019,6313,Andhra Pradesh,N,12,1991.25,0,119.48,119.48,0,Submitted,Jun-19
37AABCA9317J2ZI,ADITYA MEDISALES LIMITED,AD1993005482,R,07-06-2019,22152,Andhra Pradesh,N,18,2196.6,0,197.69,197.69,0,Submitted,Jun-19
37AVKPS1040D1ZR,RAMAKRISHNA  SRIPATHI,SV00009,R,16-04-2019,6746,Andhra Pradesh,N,18,5717.04,0,514.53,514.53,0,Submitted,Jun-19
37AVKPS1040D1ZR,RAMAKRISHNA  SRIPATHI,SV00017,R,26-04-2019,4011,Andhra Pradesh,N,18,935.42,0,84.19,84.19,0,Submitted,Jun-19
37AVKPS1040D1ZR,RAMAKRISHNA  SRIPATHI,SV00026,R,15-05-2019,9433,Andhra Pradesh,N,18,5529.96,0,497.7,497.7,0,Submitted,Jun-19
37AVKPS1040D1ZR,RAMAKRISHNA  SRIPATHI,SV00035,R,27-05-2019,1723,Andhra Pradesh,N,18,155.9,0,14.03,14.03,0,Submitted,Jun-19
37AVKPS1040D1ZR,RAMAKRISHNA  SRIPATHI,SV00043,R,07-06-2019,6035,Andhra Pradesh,N,18,4158,0,374.22,374.22,0,Submitted,Jun-19
37AVKPS1040D1ZR,RAMAKRISHNA  SRIPATHI,SV00047,R,21-06-2019,883,Andhra Pradesh,N,18,748.44,0,67.36,67.36,0,Submitted,Jun-19
37AVKPS1040D1ZR,RAMAKRISHNA  SRIPATHI,SV00049,R,24-06-2019,5103,Andhra Pradesh,N,18,4324.32,0,389.19,389.19,0,Submitted,Jun-19
37ARBPK9693B1ZL,CHALUVADI  KAMALAKUMARI,Umagts00121,R,06-06-2019,23025.72,Andhra Pradesh,N,18,12026.5,0,1082.39,1082.39,0,Submitted,Jun-19
37ARBPK9693B1ZL,CHALUVADI  KAMALAKUMARI,Umagts00172,R,28-06-2019,15620.4,Andhra Pradesh,N,18,8246.4,0,742.18,742.18,0,Submitted,Jun-19
36AHIPA1686P1ZX,AKUTHOTA PADMA SEKHAR,PI3629000311,R,29-06-2019,77818.65,Andhra Pradesh,N,18,7727.12,1390.88,0,0,0,Submitted,Jun-19
36ACCFS3863P1ZH,SAI SRINIVASA MEDICAL CORPORATION,RP000231,R,06-06-2019,6988,Andhra Pradesh,N,18,2207,397.26,0,0,0,Submitted,Jun-19
36ACCFS3863P1ZH,SAI SRINIVASA MEDICAL CORPORATION,RP000445,R,19-06-2019,9178,Andhra Pradesh,N,18,4118.9,741.4,0,0,0,Submitted,Jun-19
36ACCFS3863P1ZH,SAI SRINIVASA MEDICAL CORPORATION,SB003101,R,24-06-2019,22235,Andhra Pradesh,N,18,4988.25,897.88,0,0,0,Submitted,Jun-19
36ACCFS3863P1ZH,SAI SRINIVASA MEDICAL CORPORATION,SB003141,R,25-06-2019,19483,Andhra Pradesh,N,18,2514,452.52,0,0,0,Submitted,Jun-19
37BPSPK5588P1ZK,PARAMESWARI  KARALAPATI,DMA0924,R,20-06-2019,3772,Andhra Pradesh,N,18,358.78,0,32.29,32.29,0,Submitted,Jun-19
37AAACT3373J1Z5,THE KARUR VYSYA BANK LTD,3701061900251994,R,30-06-2019,59,Andhra Pradesh,N,18,50,0,4.5,4.5,0,Submitted,Jun-19
36AAACM2303F1Z3,MODI MUNDIPHARMA PRIVATE LIMITED,M09CC00220,R,10-06-2019,36553,Andhra Pradesh,N,18,1418.65,255.36,0,0,0,Submitted,Jun-19
36AAACM2303F1Z3,MODI MUNDIPHARMA PRIVATE LIMITED,M09CC00221,R,10-06-2019,8035,Andhra Pradesh,N,18,6809.52,1225.71,0,0,0,Submitted,Jun-19
